part,kind,dimension_1_mm,dimension_2_mm,dimension_3_mm,description
fastener_clip_vertical_bottom_left_2_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_2_1 + base_principal_left_1"
fastener_clip_vertical_bottom_left_2_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_2_1 + base_principal_left_1"
fastener_clip_vertical_bottom_left_2_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_2_2 + base_rail_bottom_left_2"
fastener_clip_vertical_bottom_left_2_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_2_2 + base_rail_bottom_left_2"
fastener_clip_vertical_bottom_left_2_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_2_2 + base_rail_bottom_left_2"
fastener_clip_vertical_bottom_left_2_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_2_2 + base_principal_left_2"
fastener_clip_vertical_bottom_left_2_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_2_2 + base_principal_left_2"
fastener_clip_vertical_bottom_left_2_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_2_2 + base_principal_left_2"
fastener_clip_vertical_bottom_left_3_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_1 + base_rail_bottom_left_3"
fastener_clip_vertical_bottom_left_3_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_1 + base_rail_bottom_left_3"
fastener_clip_vertical_bottom_left_3_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_1 + base_rail_bottom_left_3"
fastener_clip_vertical_bottom_left_3_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_1 + base_principal_left_2"
fastener_clip_vertical_bottom_left_3_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_1 + base_principal_left_2"
fastener_clip_vertical_bottom_left_3_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_1 + base_principal_left_2"
fastener_clip_vertical_bottom_left_3_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_2 + base_rail_bottom_left_3"
fastener_clip_vertical_bottom_left_3_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_2 + base_rail_bottom_left_3"
fastener_clip_vertical_bottom_left_3_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_2 + base_rail_bottom_left_3"
fastener_clip_vertical_bottom_left_3_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_2 + base_principal_center"
fastener_clip_vertical_bottom_left_3_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_2 + base_principal_center"
fastener_clip_vertical_bottom_left_3_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_left_3_2 + base_principal_center"
fastener_clip_vertical_bottom_right_1_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_1 + base_rail_bottom_right_1"
fastener_clip_vertical_bottom_right_1_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_1 + base_rail_bottom_right_1"
fastener_clip_vertical_bottom_right_1_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_1 + base_rail_bottom_right_1"
fastener_clip_vertical_bottom_right_1_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_1 + base_principal_center"
fastener_clip_vertical_bottom_right_1_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_1 + base_principal_center"
fastener_clip_vertical_bottom_right_1_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_1 + base_principal_center"
fastener_clip_vertical_bottom_right_1_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_2 + base_rail_bottom_right_1"
fastener_clip_vertical_bottom_right_1_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_2 + base_rail_bottom_right_1"
fastener_clip_vertical_bottom_right_1_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_2 + base_rail_bottom_right_1"
fastener_clip_vertical_bottom_right_1_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_2 + base_principal_right_1"
fastener_clip_vertical_bottom_right_1_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_2 + base_principal_right_1"
fastener_clip_vertical_bottom_right_1_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_1_2 + base_principal_right_1"
fastener_clip_vertical_bottom_right_2_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_1 + base_rail_bottom_right_2"
fastener_clip_vertical_bottom_right_2_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_1 + base_rail_bottom_right_2"
fastener_clip_vertical_bottom_right_2_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_1 + base_rail_bottom_right_2"
fastener_clip_vertical_bottom_right_2_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_1 + base_principal_right_1"
fastener_clip_vertical_bottom_right_2_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_1 + base_principal_right_1"
fastener_clip_vertical_bottom_right_2_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_1 + base_principal_right_1"
fastener_clip_vertical_bottom_right_2_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_2 + base_rail_bottom_right_2"
fastener_clip_vertical_bottom_right_2_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_2 + base_rail_bottom_right_2"
fastener_clip_vertical_bottom_right_2_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_2 + base_rail_bottom_right_2"
fastener_clip_vertical_bottom_right_2_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_2 + base_principal_right_2"
fastener_clip_vertical_bottom_right_2_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_2 + base_principal_right_2"
fastener_clip_vertical_bottom_right_2_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_2_2 + base_principal_right_2"
fastener_clip_vertical_bottom_right_3_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_1 + base_rail_bottom_right_3"
fastener_clip_vertical_bottom_right_3_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_1 + base_rail_bottom_right_3"
fastener_clip_vertical_bottom_right_3_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_1 + base_rail_bottom_right_3"
fastener_clip_vertical_bottom_right_3_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_1 + base_principal_right_2"
fastener_clip_vertical_bottom_right_3_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_1 + base_principal_right_2"
fastener_clip_vertical_bottom_right_3_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_1 + base_principal_right_2"
fastener_clip_vertical_bottom_right_3_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_2 + base_rail_bottom_right_3"
fastener_clip_vertical_bottom_right_3_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_2 + base_rail_bottom_right_3"
fastener_clip_vertical_bottom_right_3_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_2 + base_rail_bottom_right_3"
fastener_clip_vertical_bottom_right_3_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_2 + base_side_right"
fastener_clip_vertical_bottom_right_3_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_2 + base_side_right"
fastener_clip_vertical_bottom_right_3_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_bottom_right_3_2 + base_side_right"
fastener_clip_vertical_top_left_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_1 + base_rail_top"
fastener_clip_vertical_top_left_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_1 + base_rail_top"
fastener_clip_vertical_top_left_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_1 + base_rail_top"
fastener_clip_vertical_top_left_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_1 + base_principal_left_1"
fastener_clip_vertical_top_left_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_1 + base_principal_left_1"
fastener_clip_vertical_top_left_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_1 + base_principal_left_1"
fastener_clip_vertical_base_left_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_1 + base_header"
fastener_clip_vertical_base_left_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_1 + base_header"
fastener_clip_vertical_base_left_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_1 + base_header"
fastener_clip_vertical_base_left_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_1 + base_principal_left_1"
fastener_clip_vertical_base_left_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_1 + base_principal_left_1"
fastener_clip_vertical_base_left_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_1 + base_principal_left_1"
fastener_clip_vertical_header_left_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_1 + base_header"
fastener_clip_vertical_header_left_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_1 + base_header"
fastener_clip_vertical_header_left_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_1 + base_header"
fastener_clip_vertical_header_left_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_1 + base_post_left_1"
fastener_clip_vertical_header_left_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_1 + base_post_left_1"
fastener_clip_vertical_header_left_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_1 + base_post_left_1"
fastener_clip_vertical_top_left_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_2 + base_rail_top"
fastener_clip_vertical_top_left_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_2 + base_rail_top"
fastener_clip_vertical_top_left_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_2 + base_rail_top"
fastener_clip_vertical_top_left_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_2 + base_principal_left_2"
fastener_clip_vertical_top_left_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_2 + base_principal_left_2"
fastener_clip_vertical_top_left_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_left_2 + base_principal_left_2"
fastener_clip_vertical_base_left_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_2 + base_header"
fastener_clip_vertical_base_left_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_2 + base_header"
fastener_clip_vertical_base_left_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_2 + base_header"
fastener_clip_vertical_base_left_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_2 + base_principal_left_2"
fastener_clip_vertical_base_left_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_2 + base_principal_left_2"
fastener_clip_vertical_base_left_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_left_2 + base_principal_left_2"
fastener_clip_vertical_header_left_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_2 + base_header"
fastener_clip_vertical_header_left_2_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_2 + base_header"
fastener_clip_vertical_header_left_2_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_2 + base_header"
fastener_clip_vertical_header_left_2_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_2 + base_post_left_2"
fastener_clip_vertical_header_left_2_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_2 + base_post_left_2"
fastener_clip_vertical_header_left_2_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_left_2 + base_post_left_2"
fastener_clip_vertical_top_right_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_1 + base_rail_top"
fastener_clip_vertical_top_right_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_1 + base_rail_top"
fastener_clip_vertical_top_right_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_1 + base_rail_top"
fastener_clip_vertical_top_right_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_1 + base_principal_right_1"
fastener_clip_vertical_top_right_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_1 + base_principal_right_1"
fastener_clip_vertical_top_right_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_1 + base_principal_right_1"
fastener_clip_vertical_base_right_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_1 + base_header"
fastener_clip_vertical_base_right_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_1 + base_header"
fastener_clip_vertical_base_right_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_1 + base_header"
fastener_clip_vertical_base_right_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_1 + base_principal_right_1"
fastener_clip_vertical_base_right_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_1 + base_principal_right_1"
fastener_clip_vertical_base_right_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_base_right_1 + base_principal_right_1"
fastener_clip_vertical_header_right_1_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_1 + base_header"
fastener_clip_vertical_header_right_1_beam_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_1 + base_header"
fastener_clip_vertical_header_right_1_beam_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_1 + base_header"
fastener_clip_vertical_header_right_1_upright_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_1 + base_post_right_1"
fastener_clip_vertical_header_right_1_upright_2,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_1 + base_post_right_1"
fastener_clip_vertical_header_right_1_upright_3,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_header_right_1 + base_post_right_1"
fastener_clip_vertical_top_right_2_beam_1,screw,38.1,6.35,6.35,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment; clip_vertical_top_right_2 + base_rail_top"
